customer_id,total_events,total_value,purchase_count,view_count,cart_count,days_since_last_event,label_high_value
cust_123,7,339.93,7,0,0,17,1
cust_999,1,99.99,1,0,0,17,0
sample_customer_001,4,43.06,2,2,0,3,0
sample_customer_002,1,0.0,0,1,0,6,0
sample_customer_003,6,52.96,1,1,4,22,0
sample_customer_004,5,117.18,3,1,1,10,0
sample_customer_005,12,112.21,2,6,4,17,0
sample_customer_006,6,61.99,1,5,0,12,0
sample_customer_007,11,103.12,2,4,5,2,0
sample_customer_008,2,0.0,0,1,1,25,0
sample_customer_009,6,64.79,1,5,0,18,0
sample_customer_010,7,54.7,1,5,1,17,0
sample_customer_011,10,44.86,3,3,4,20,0
sample_customer_012,6,0.0,0,1,5,21,0
sample_customer_013,6,0.0,0,3,3,23,0
sample_customer_014,7,98.11,2,4,1,24,0
sample_customer_015,9,13.48,1,6,2,28,0
sample_customer_016,8,188.91,3,3,2,22,0
sample_customer_017,5,0.0,0,4,1,10,0
sample_customer_018,4,0.0,0,4,0,22,0
sample_customer_019,7,26.71,1,6,0,15,0
sample_customer_020,12,15.66,1,8,3,21,0
sample_customer_021,8,77.18,3,4,1,27,0
sample_customer_022,8,96.02,3,4,1,1,0
sample_customer_023,10,27.8,1,8,1,1,0
sample_customer_024,3,0.0,0,3,0,27,0
sample_customer_025,8,34.23,1,2,5,28,0
sample_customer_026,11,364.95,3,6,2,4,1
sample_customer_027,12,399.46,4,4,4,9,1
sample_customer_028,5,399.47,3,2,0,6,1
sample_customer_029,12,631.76,5,2,5,5,1
sample_customer_030,9,373.96,3,3,3,27,1
sample_customer_031,7,506.84,3,3,1,0,1
sample_customer_032,12,659.98,5,7,0,7,1
sample_customer_033,8,273.82,2,6,0,18,1
sample_customer_034,8,336.52,3,2,3,29,1
sample_customer_035,11,539.74,4,2,5,17,1
sample_customer_036,10,406.46,3,5,2,14,1
sample_customer_037,9,349.65,3,6,0,0,1
sample_customer_038,15,642.66,5,7,3,3,1
sample_customer_039,14,749.41,5,6,3,8,1
sample_customer_040,6,403.16,3,2,1,2,1
sample_customer_041,7,700.56,5,1,1,18,1
sample_customer_042,10,354.74,3,4,3,21,1
sample_customer_043,6,523.85,5,1,0,10,1
sample_customer_044,10,294.99,2,8,0,20,1
sample_customer_045,15,238.2,2,8,5,22,1
sample_customer_046,7,412.47,3,4,0,19,1
sample_customer_047,10,455.65,4,2,4,11,1
sample_customer_048,16,498.13,4,7,5,14,1
sample_customer_049,11,230.77,2,5,4,7,1
sample_customer_050,15,376.11,3,7,5,16,1
